element_idx,element_type,jens,jeans
3045,R,0.766991,0.413689
3046,R,0.741922,0.394611
3047,R,0.729489,0.400216
3048,R,0.855424,0.569763
3049,R,0.857002,0.569763
3050,H,0.984577,0.775743
3051,H,0.98259,0.792195
3052,R,0.724157,0.431953
3053,R,0.757178,0.437362
3054,R,0.724157,0.417352
3055,R,0.760536,0.465743
3056,R,0.743198,0.430896
3057,R,0.715285,0.395609
3058,R,0.743198,0.42497
3059,R,0.715285,0.403925
3060,R,0.855199,0.567979
3061,R,0.855424,0.57293
3062,H,0.987791,0.812681
3063,H,0.989544,0.769923
3064,R,0.767438,0.433983
3065,R,0.732,0.390211
3066,R,0.755089,0.435476
3067,R,0.757178,0.437362
3068,R,0.707251,0.480051
3069,R,0.697204,0.47415
3070,R,0.731753,0.486192
3071,R,0.714125,0.480051
3072,H,0.856445,0.48179
3073,H,0.858404,0.497965
3074,R,0.657644,0.299288
3075,R,0.658272,0.337452
3076,R,0.657644,0.31633
3077,R,0.658272,0.34089
3078,R,0.60788,0.537808
3079,R,0.606462,0.530516
3080,H,0.84098,0.469173
3081,H,0.84098,0.48179
3082,R,0.606857,0.308183
3083,R,0.676267,0.36773
3084,R,0.606857,0.299761
3085,R,0.66893,0.346712
3086,R,0.606462,0.534947
3087,R,0.646267,0.547194
3088,H,0.989515,0.809833
3089,H,0.995221,0.874442
3090,H,0.956527,0.58463
3091,H,0.955343,0.614542
3092,H,0.992948,0.8601
3093,H,0.988978,0.892079
3094,H,0.995157,0.785498
3095,H,0.9955,0.768991
3096,H,0.991781,0.732822
3097,H,0.987162,0.813192
3098,H,0.955343,0.580179
3099,H,0.950906,0.624591
3100,H,0.994573,0.806855
3101,H,0.993083,0.805344
3102,H,0.9955,0.802662
3103,H,0.995639,0.760188
3104,H,0.85567,0.458453
3105,H,0.86289,0.469173
3106,R,0.639495,0.30876
3107,R,0.682491,0.363188
3108,R,0.639495,0.288582
3109,R,0.676267,0.355278
3110,R,0.639721,0.569237
3111,R,0.632638,0.588258
3112,H,0.848828,0.480543
3113,H,0.85567,0.458453
3114,R,0.657142,0.309612
3115,R,0.670118,0.355388
3116,R,0.648072,0.294782
3117,R,0.670118,0.338893
3118,R,0.631577,0.562188
3119,R,0.606739,0.537471
3120,H,0.99135,0.82765
3121,H,0.991676,0.809733
3122,H,0.950906,0.655198
3123,H,0.972313,0.666828
3124,H,0.992281,0.868909
3125,H,0.994473,0.825419
3126,H,0.996763,0.81789
3127,H,0.995152,0.806561
3128,H,0.984091,0.803958
3129,H,0.99394,0.806469
3130,H,0.956475,0.58929
3131,H,0.956475,0.613189
3132,H,0.977698,0.802781
3133,H,0.987189,0.802784
3134,H,0.995815,0.797083
3135,H,0.99437,0.833607
3136,H,0.995825,0.785453
3137,H,0.995165,0.805774
3138,H,0.946322,0.587475
3139,H,0.947861,0.601524
3140,H,0.988738,0.866027
3141,H,0.994459,0.890229
3142,H,0.993794,0.82871
3143,H,0.989215,0.818344
3144,H,0.995325,0.82814
3145,H,0.995622,0.764558
3146,H,0.95789,0.628792
3147,H,0.946322,0.598385
3148,H,0.988688,0.879967
3149,H,0.971573,0.795725
3150,H,0.985934,0.804373
3151,H,0.994365,0.849218
3152,R,0.606281,0.528603
3153,R,0.613803,0.562905
3154,R,0.660888,0.358036
3155,R,0.681205,0.319182
3156,R,0.660888,0.338839
3157,R,0.630634,0.296832
3158,H,0.873773,0.499703
3159,H,0.848221,0.491638
3160,R,0.607687,0.532105
3161,R,0.606281,0.528603
3162,R,0.657737,0.324407
3163,R,0.677513,0.292963
3164,R,0.657737,0.346058
3165,R,0.679119,0.313588
3166,H,0.848221,0.491638
3167,H,0.853978,0.468911
3168,H,0.994427,0.80102
3169,H,0.996152,0.834125
3170,H,0.938626,0.62955
3171,H,0.940907,0.62955
3172,H,0.990138,0.858992
3173,H,0.996403,0.871485
3174,H,0.988973,0.842695
3175,H,0.992283,0.845656
3176,H,0.994563,0.77251
3177,H,0.99406,0.821624
3178,H,0.957476,0.590599
3179,H,0.938626,0.630898
3180,H,0.987421,0.812631
3181,H,0.986071,0.802032
3182,H,0.988572,0.783528
3183,H,0.991908,0.874997
3184,R,0.630691,0.555241
3185,R,0.589775,0.524925
3186,R,0.648908,0.32235
3187,R,0.637683,0.2985
3188,R,0.648908,0.305982
3189,R,0.662467,0.295503
3190,H,0.858308,0.511764
3191,H,0.835416,0.514622
3192,R,0.633343,0.555024
3193,R,0.638865,0.555024
3194,R,0.712232,0.397787
3195,R,0.618652,0.292772
3196,R,0.705268,0.379875
3197,R,0.618652,0.292772
3198,H,0.835416,0.480739
3199,H,0.840246,0.480739
3200,R,0.712467,0.476242
3201,R,0.712467,0.476242
3202,R,0.735491,0.487238
3203,R,0.71562,0.490929
3204,R,0.716183,0.432625
3205,R,0.744959,0.412165
3206,R,0.713159,0.364205
3207,R,0.744959,0.365927
3208,R,0.847379,0.544151
3209,R,0.847379,0.544151
3210,H,0.989426,0.883637
3211,H,0.988425,0.763722
3212,R,0.740192,0.401201
3213,R,0.76389,0.412269
3214,R,0.751119,0.401201
3215,R,0.742748,0.412269
3216,R,0.713159,0.412674
3217,R,0.712627,0.409105
3218,R,0.695555,0.360023
3219,R,0.712627,0.373894
3220,R,0.849799,0.547149
3221,R,0.849799,0.547149
3222,H,0.988099,0.823813
3223,H,0.98882,0.824096
3224,R,0.710425,0.403281
3225,R,0.790699,0.459161
3226,R,0.710425,0.391826
3227,R,0.779592,0.445147
3228,R,0.748649,0.493849
3229,R,0.731753,0.486192
3230,R,0.729244,0.485456
3231,R,0.748649,0.490891
3232,R,0.701813,0.479744
3233,R,0.702811,0.479744
3234,R,0.716754,0.484875
3235,R,0.723857,0.50985
3236,R,0.721817,0.402679
3237,R,0.799055,0.447805
3238,R,0.721817,0.410143
3239,R,0.745617,0.412242
3240,R,0.867615,0.577369
3241,R,0.856665,0.554216
3242,H,0.97759,0.789302
3243,H,0.98516,0.769031
3244,R,0.729333,0.393402
3245,R,0.7452,0.422001
3246,R,0.715302,0.398983
3247,R,0.7452,0.432464
3248,R,0.718284,0.39431
3249,R,0.745617,0.403114
3250,R,0.716183,0.401257
3251,R,0.757609,0.4574
3252,R,0.860747,0.558004
3253,R,0.860747,0.558004
3254,H,0.98375,0.824369
3255,H,0.986337,0.867826
3256,R,0.763849,0.416812
3257,R,0.740914,0.424937
3258,R,0.729333,0.394131
3259,R,0.740914,0.422759
3260,R,0.744287,0.513615
3261,R,0.729244,0.485456
3262,R,0.72614,0.47794
3263,R,0.72614,0.47794
3264,H,0.835681,0.498631
3265,H,0.835681,0.480543
3266,R,0.624638,0.281744
3267,R,0.70252,0.354501
3268,R,0.624638,0.271298
3269,R,0.670897,0.343116
3270,R,0.606739,0.537471
3271,R,0.606602,0.539506
3272,H,0.840261,0.483532
3273,H,0.840261,0.498631
3274,R,0.635373,0.309105
3275,R,0.644125,0.358253
3276,R,0.641724,0.326607
3277,R,0.698516,0.387449
3278,R,0.606602,0.538757
